Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Cadbury Mini Rolls Milk Chocolate 10 Pack,(4),4.2,2.60,"Chocolate flavoured sponge with a vanilla flavour crème, covered with milk chocolate.","Milk Chocolate (33%) [Sugar, Cocoa Mass, Cocoa Butter, Dried Skimmed Milk, Milk Fat, Vegetable Fats (Palm, Shea, Sal, Mango in varying proportions), Dried whey (from Milk), Emulsifier (Soya Lecithin)], Vanilla Flavour Creme (27%) [Vegetable Oils (Palm, Rapeseed), Glucose Syrup, Sugar, Dextrose, Flavouring, Emulsifier (E471, E475)], Sugar, Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Glucose Syrup, Humectant (Glycerol), Dried Whole Egg, Fat Reduced Cocoa, Vegetable Oils (Palm, Rapeseed), Dried Whey (from Milk), Raising Agents (Sodium Bicarbonate, E450), Soya Flour, Dried Egg White, Salt, Emulsifiers (E471, E475), Milk Protein, Preservative (Potassium Sorbate)",Energy 1810kJ/ ,Energy1810kJ/490kJ/6%8400kJ/-435kcal115kcal2000kcalFat23.0g6.2g9%70g of which Saturates11.3g3.1g16%20gCarbohydrate50.5g13.6g5%260g of which Sugars42.4g11.4g13%90gFibre2.3g0.6g-,https://www.tesco.com/groceries/en-GB/products/295848830
New York Bakery Plain Bagels 5 Pack,(65),4.7,1.60,5 Plain Bagels,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Yeast, Maize, Salt, Rapeseed Oil, Spirit Vinegar, Preservative (Calcium Propionate), Malted Barley Flour, Flour Treatment Agent (Ascorbic Acid)",Energy 1093kJ ,Energy1093kJ983kJ258kcal232kcalFat1.2g1.1g(of which saturates)0.2g0.2gCarbohydrate50.1,https://www.tesco.com/groceries/en-GB/products/250774576
Soreen Original Malt Loaf 260G,(7),4.4,1.20,A fruited malt loaf,"Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)), Water, Raisins (14%), Partially Inverted Sugar Syrup (Partially Inverted Sugar Syrup, Colour: E150c), Maize Starch, Malted Barley Flour (5%), Barley Malt Extract (4.4%), Vegetable Fat (Rapeseed, Palm), Rice Starch, Salt, Yeast, Preservative: Calcium Propionate",Energy 1321 kJ ,Energy 1321 kJ685 kJ-312 kcal162 kcalFat 3.0 g1.6 g of which saturates 0.8 g0.4 gCar,https://www.tesco.com/groceries/en-GB/products/251938134
Hovis Original 7 Seeds Bread 800G,(28),4.2,1.50,Multiseeded Sliced Bread,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Seed Mix (13%) (contains: Toasted Brown Linseed, Toasted Sunflower Seeds, Pumpkin Seeds, Sunflower Seeds, Millet Seeds, Golden Linseed, Poppy Seeds), Yeast, Wheat Protein, Salt, Soya Flour, Malted Barley Flour, Granulated Sugar, Barley Flour, Preservative: E282, Caramelised Sugar, Barley Fibre, Emulsifier: E472e, Flour Treatment Agent: Ascorbic Acid",Energy 1171kJ ,Energy 1171kJ550kJ7%-278kcal131kcalFat 6.6g3.1g4% of which saturates 0.6g0.3g1%Carbohydrate 42.0g19.7g8% of which sugars 3.8g1.8g2%Fibre 5.3g2.5gProtein 10.0g4.7gSalt 0.88g0.41g9%Omega 3 (ALA)2.18g1.02g7%* Refe,https://www.tesco.com/groceries/en-GB/products/274811214
Tesco 8 Plain Tortilla Wraps,(37),2.8,0.95,8 Plain wheat tortilla wraps.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Palm Oil, Humectant (Glycerol), Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Sugar, Emulsifier (Mono- and Di-Glycerides of Fatty Acids), Acidity Regulator (Citric Acid), Salt, Preservative (Calcium Propionate), Flour Treatment Agent (L-Cysteine Hydrochloride).",Energy 1199kJ / 284kcal ,Energy1199kJ / 284kcal731kJ / 173kcalFat5.0g3.1gSaturates2.2g1.3gCarbohydrate49.7g30.3gSugars2.2g1.3gFibre3.7g2.3,https://www.tesco.com/groceries/en-GB/products/303350352
Tesco 4 Brioche Buns,(5),4.8,0.90,4 Brioche burger buns made with egg and butter.,"INGREDIENTS: Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Sugar, Rapeseed Oil, Egg (1.5%), Palm Oil, Dextrose, Yeast, Salt, Butter (Milk), Fermented Wheat Flour, Flavouring, Soya Flour, Egg White, Emulsifier (Mono- and Di-Acetyl Tartaric Acid Esters of Mono- and Di-Glycerides of Fatty Acids), Colour (Carotenes), Flour Treatment Agent (Ascorbic Acid).",Energy 1104kJ / 261kcal ,Energy1104kJ / 261kcal695kJ / 164kcalFat2.6g1.6gSaturates1.0g0.6gCarbohydrate49.3g31.1gSugars8.8g5.5gFibre3.1g2.,https://www.tesco.com/groceries/en-GB/products/305047759
Warburtons Crumpets 6 Pack,(25),4.6,0.90,6 Crumpets,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Raising Agents: E450, E500, Salt, Sugar, Preservative: Calcium Propionate",Energy 739kJ ,Energy 739kJ406kJ8400kJ-176kcal97kcal2000kcalFat 0.8g0.4g70g of which saturates 0.2g0.1g20gCarbo,https://www.tesco.com/groceries/en-GB/products/252846644
Hovis Soft White Thick Bread 800G,(14),2.9,0.99,Thick Sliced White Bread,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Yeast, Soya Flour, Salt, Preservative: E282, Emulsifiers: E472e, E471, E481, Flour Treatment Agent: Ascorbic Acid",Energy 987kJ ,Energy 987kJ494kJ6%-233kcal117kcalFat 1.7g0.8g1% of which saturates 0.3g0.2g1%Carbohydrate44.6g22.3g9% of which sugars 3.5g1.7g2%Fibre 2.4g1.2gProtein 8.7g4.4g9%Salt 0.90g0.45,https://www.tesco.com/groceries/en-GB/products/254550817
Hovis Soft White Medium Bread 800G,(36),3.6,0.99,Medium Sliced White Bread,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Yeast, Soya Flour, Salt, Preservative: E282, Emulsifiers: E472e, E471, E481, Flour Treatment Agent: Ascorbic Acid",Energy 987kJ ,Energy 987kJ395kJ5%-233kcal93kcalFat 1.7g0.7g1% of which saturates 0.3g0.1g1%Carbohydrate44.6g17.9g7% of which sugars 3.5g1.4g2%Fibre 2.4g1.0gProtein 8.7g3.5g7%Salt 0.90g0.3,https://www.tesco.com/groceries/en-GB/products/256174499
Warburtons Farmhouse White Bread 800G,(11),3.4,1.20,Thick Sliced White Bread,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Vegetable Oil (Rapeseed, Sustainable Palm), Salt, Flavouring, Soya Flour, Preservative: Calcium Propionate, Emulsifiers: E471, E481, Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)",Energy 1021kJ ,Energy 1021kJ436kJ8400kJ-243kcal104kcal2000kcalFat 2.5g1.1g70g of which saturates 0.5g0.2g20gCarbohydrate 45.0g19.2g260,https://www.tesco.com/groceries/en-GB/products/250168194
Kingsmill 50/50 Medium Bread 800G,(17),3.8,0.85,Soft White Bread made with 50% Wholemeal Wheat Flour (33% of the baked loaf),"Wheat Flour (33%) (with Calcium, Iron, Niacin (B3) and Thiamin (B1)), Wholemeal Wheat Flour (33%), Water, Yeast, Salt, Vegetable Oils (Rapeseed, Sustainable Palm), Vinegar, Emulsifier: E472e, Soya Flour, Preservative: Calcium Propionate, Flour Treatment Agent: Ascorbic Acid (Vitamin C)",Energy 991 kJ ,Energy 991 kJ396 kJ5%234 kcalFat 2.2 g0.9 g1%of which: saturates 0.4 g0.2 g1%Carbohydrate 41.9 g16.8 g6%of which: sugars 3.1 g1.2 g1%Fibre 4.7 g1.9 gProtein 9.4 g3.8 g8%Salt ,https://www.tesco.com/groceries/en-GB/products/261738730
Hovis Wholemeal Medium Bread 800G,(21),3.6,0.99,Medium Sliced Wholemeal Bread,"Wholemeal Flour (Wheat), Water, Wheat Protein, Yeast, Granulated Sugar, Salt, Soya Flour, Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm, Rapeseed), Emulsifiers: E471, E472e, Preservative: E282, Caramelised Sugar, Flour Treatment Agent: Ascorbic Acid, This product contains 61% wholegrains from wholemeal flour",Energy 934kJ ,Energy 934kJ374kJ-221kcal88kcal4%Fat 1.8g0.7g1% of which saturates 0.4g0.2g1%Carbohydrates 37.8g15.1g6% of which sugars 4.1g1.6g2%Fibre 6.8g2.7gProtein 10.0g4.0g8%Salt 0.90g0.36g6%Vitamin B10.23mg (21% RI)0.09mg (8%,https://www.tesco.com/groceries/en-GB/products/255000362
Warburtons Crumpets 9Pk,(25),4.1,1.00,9 Crumpets,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Raising Agent: E450, E500, Salt, Sugar, Preservative: Calcium Propionate",Energy 739kJ ,Energy 739kJ406kJ8400kJ-176kcal97kcal2000kcalFat 0.8g0.4g70g of which saturates 0.2g0.1g20gCarbo,https://www.tesco.com/groceries/en-GB/products/274026924
