Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Mcvitie's Jaffa Cakes Triple Pack 30 Cakes,(20),3.4,2.00,30 Light Sponge Cakes with Dark Crackly Chocolate and a Smashing Orangey Centre,"Glucose-Fructose Syrup, Plain Chocolate (19%) [Sugar, Cocoa Mass, Vegetable Fats (Palm, Shea), Butter Oil (Milk), Cocoa Butter, Emulsifiers (Soya Lecithin, E476), Natural Flavouring], Sugar, Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Whole Egg, Water, Dextrose, Concentrated Orange Juice (8% Orange Juice Equivalent), Glucose Syrup, Vegetable Oils (Sunflower, Palm), Humectant (Glycerine), Gelling Agent (Pectin), Acid (Citric Acid), Raising Agents (Ammonium Bicarbonate, Disodium Diphosphate, Sodium Bicarbonate), Dried Whole Egg, Acidity Regulator (Sodium Citrates), Natural Orange Flavouring, Colour (Curcumin), Emulsifier (Soya Lecithin)",Energy Per 100g ,Energy (kJ)1600195 (kcal)37946Fat 7.9g1.0gof which Saturates 4.0g0.5gCarbohydrate 70.9g8.7gof which,https://www.tesco.com/groceries/en-GB/products/301516189
Jacobs Mini Cheddars Original 6X25g,(7),4,1.50,Cheese Snack Biscuits,"Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oils (Palm, Sunflower), Dried Cheese (12%) (Milk) [Dried Powdered Cheese (Milk), Natural Flavouring, Yeast Extract (Barley)], Sugar, Glucose Syrup, Salt, Dried Whey (Milk), Barley Malt Extract, Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Acid (Lactic Acid), Natural Flavourings",Energy Per 100g ,Energy (kJ)2139535(kcal)512128Fat 29.2g7.3gof which Saturates 11.6g2.9gCarbohydrate 50.1g12.5gof which Sug,https://www.tesco.com/groceries/en-GB/products/301063919
Walkers Classic Variety Multipack Crisps 24 X 25G,(7),3.9,3.00,"6 x Cheese & Onion Flavour Potato Crisps
6 x Ready Salted Potato Crisps
6 x Salt & Vinegar Flavour Potato Crisps
6 x Prawn Cocktail Flavour Crisps (with sugar and sweetener)",Store in a cool dry place,Energy 542kJ ,Energy 549kJ2194kJ-132kcal(7%*)526kcalFat 8.0g(11%*)31.9gof which Saturates 0.7g(3%*)2.6gCarbohydrate 12.9g51.5gof which Sugars0.1g(<1%*)0.4gFibre 1.1g4.3gProtein 1.5g6.1gSalt 0.35g(6%*)1,https://www.tesco.com/groceries/en-GB/products/305037778
Kellogg's Crunchy Nut 500G,(5),4.2,3.00,"Golden Flakes of Corn with Sugar, Peanuts and Honey.",By Appointment to HM The Queen Purveyors of Cereals Kelloggs Marketing and Sales Company (UK) Limited,Energy 1683kJ ,Energy 1683kJ505kJ-398kcal119kcal6%Fat 4.5g1.4g2% of which saturates 0.7g0.2g1%Carbohydrate 82g25g of which sugars 35g11g12%Fibre 2.5g0.8gProtein 6g1.8gSalt 0.75g0.23g4%Vitamin D 8.4µg167%2.5µg50%Thiamin (B1) 0.91mg83%0.28mg25%Riboflavin (B2) 1.2mg83%0.35mg25%Niacin (B3)13.3mg83%4.0mg25%Vitamin B6 1.2mg83%0.35mg25%Folic Acid (B9)334µg167%100µg50%Vitamin B12 2.1µg83%0.63µg25%Iron 8,https://www.tesco.com/groceries/en-GB/products/256267349
Cadbury Twirl 4 Pack 136G,(7),3.7,0.98,2 Milk chocolate fingers,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2209 kJ ,Energy 2209 kJ375 kJ8400 kJ /-528 kcal90 kcal2000 kcalFat 29 g4.9 g70 gof which Saturates 17 g2.9 g20 gCarbohydrate 59 g10 g260 gof which Sugars 58 g9.9 g90 gFibre 2.3 g0.4 g-Protei,https://www.tesco.com/groceries/en-GB/products/266712758
Cadbury Dairy Milk 110G,(8),3.9,0.98,Milk chocolate.,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2232 kJ / 534 kcal ,Energy 2232 kJ / 534 kcal613 kJ / 147 kcal8400 kJ / 2000 kcalFat 30 g8.4 g70 g of which Saturates 18 g5.1 g20 gCarbohydrate 57 g16 g260 g of which Sugars 56 g15 g90 gFibre 2.1 g0.5 g-Protei,https://www.tesco.com/groceries/en-GB/products/284117451
Kit Kat 2 Finger Milk Chocolate Biscuits 9 Pack 186.3G,(51),4.7,1.50,Nine bars of two crispy wafer fingers covered with milk chocolate (66%).,"Sugar, Wheat Flour (contains Calcium, Iron, Thiamin and Niacin), Milk Powders (Whole and Skimmed), Cocoa Mass, Cocoa Butter, Vegetable Fats (Palm, Shea, Mango Kernel, Sal), Lactose and Proteins from Whey (from Milk), Whey Powder (from Milk), Butterfat (from Milk), Emulsifier (Lecithins), Yeast, Raising Agent (Sodium Bicarbonate), Natural Flavourings",Energy 2103kJ ,Energy2103kJ436kJ8400kJ-502kcal104kcal2000kcal5%Fat24.5g5.1g70g7%of which: saturates13.4g2.8g20g14%Carbohydrate62.3g12.9g260g5%of which: sugars49.4g10.2g90g11%Fibre2.3g0.5g--Protein7.0g1.4g50g3%Salt0.22g0.05g6g1%*Reference Intake of an average adult (8400K,https://www.tesco.com/groceries/en-GB/products/297556924
Cadbury Wispa 4 Pack 120G,(5),3.8,0.98,Textured milk chocolate bar.,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2290 kJ ,Energy 2290 kJ699 kJ8400 kJ/-550 kcal167 kcal2000 kcalFat 34.0 g10.5 g70 gof which Saturates 21.0 g6.4 g20 gCarbohydrate 52.5 g16.0 g260 gof which Sugars 52.5 g16.0 g90 gFibre 1.0 g0.3 g-Prot,https://www.tesco.com/groceries/en-GB/products/283787257
Tesco Chickpeas In Water 400G,(20),3.8,0.55,Chickpeas in water.,"INGREDIENTS: Chickpeas, Water.",Energy 483kJ / 115kcal ,Energy483kJ / 115kcal579kJ / 138kcalFat2.2g2.7gSaturates0.3g0.4gCarbohydrate13.6g16.3gSugars0.4g0.4gFibre6.9g8.3gProtein6,https://www.tesco.com/groceries/en-GB/products/262490576
Cadbury Dairy Milk Chocolate Bar 200G,(7),4.6,1.80,Milk Chocolate.,"By Appointment to H.M. The Queen Cocoa and Chocolate Manufacturers Cadbury UK Ltd., Bournville.",Energy 2232 kJ ,Energy 2232 kJ557 kJ8400 kJ /-534 kcal133 kcal2000 kcalFat 30 g7.6 g70 gof which Saturates 18 g4.6 g20 gCarbohydrate 57 g14 g260 gof which Sugars 56 g14 g90 gFibre 2.1 g0.5 g-Protei,https://www.tesco.com/groceries/en-GB/products/273968548
Tesco Red Kidney Beans 400G,(21),2.8,0.55,Red kidney beans in water.,"INGREDIENTS: Red Kidney Beans, Water, Firming Agent (Calcium Chloride).",Energy 468kJ / 111kcal ,Energy468kJ / 111kcal561kJ / 134kcalFat0.8g1.0gSaturates0.2g0.2gCarbohydrate13.5g16.2gSugars0.7g0.8gFibre9.6g11.5gProtein7.7,https://www.tesco.com/groceries/en-GB/products/259061829
Twix Biscuit 9 Pack 207G,No ratings yet,Nan,1.75,Milk Chocolate (35%) covered caramel (32%) and biscuit (26%),"Sugar, Glucose Syrup, Wheat Flour (17%), Palm Fat, Cocoa Butter, Skimmed Condensed Milk, Cocoa Mass, Skimmed Milk Powder, Lactose, Milk Fat, Whey Powder (from Milk), Fat Reduced Cocoa, Salt, Emulsifier (Soya Lecithin), Raising Agent (E500), Natural Vanilla Extract",Energy 2072kJ ,Energy 2072kJ477kJ (6%)-495kcal114kcal (6%)Fat 23.9g5.5g (8%) of which saturates 13.9g3.2g (16%)Carbohydrate 64.6g14.9g (6%) of which sugars 48.8g11.2g (12%)Pr,https://www.tesco.com/groceries/en-GB/products/264503272
Branston Beans In Tomato Sauce 410G,(14),5,0.65,Baked Beans in tomato sauce,"Beans (51%), Tomatoes (38%), Water, Sugar, Modified Maize Starch, Reduced Sodium Sea Salt, Spirit Vinegar, Salt, Paprika, White Pepper, Spices, Flavourings",Nan,Energy (kJ)359737Energy (kcal)85175Fat (g)0.61.2 of which saturates (g)0.10.3Carbohydrate (g)12.525.6 of which sugars (g)4.79.6Fibre (g)5.,https://www.tesco.com/groceries/en-GB/products/275205504
Walkers Ready Salted Crisps 6X25g,(8),4.9,1.50,Ready Salted Potato Crisps,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Salt",Energy 549kJ ,Energy 549kJ2194kJ-132kcal(7%*)526kcalFat 8.0g(11%*)31.9gof which Saturates 0.7g(3%*)2.6gCarbohydrate 12.9g51.5gof which Sugars 0.1g(<1%*)0.4gFibre 1.1g,https://www.tesco.com/groceries/en-GB/products/254926800
Kp Skips Prawn Cocktail Crisps 6 X 13.1G,(8),4.2,Nan,Prawn Cocktail Flavour Tapioca Snack,"Tapioca Starch, Sunflower Oil (32%), Maize Flour, Prawn Cocktail Flavour [Sugar, Salt, Natural Flavourings, Acid: Citric Acid, Dried Onion, Natural Vinegar Flavouring, Potassium Chloride, Yeast Extract, Spice, Dried Tomato, Natural Pepper Flavourings, Colour: Paprika Extract], Rice Protein, Sugar, Salt, Colour: Paprika Extract",Energy 2268kJ ,Energy2268kJ297kJ-543kcal71kcalFat32g4.2g of which saturates3.1g0.4gCarboh,https://www.tesco.com/groceries/en-GB/products/295709926
