Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Mccain Extra Chunky Home Chips 1Kg,(38),3.9,2.50,Home Chips Chunky,"Potato (91%), Sunflower Oil (4.9%), Batter (Flour (Wheat (with Calcium, Iron, Niacin, Thiamin) Rice, Broad Bean), Dextrin, Starch (Wheat, Potato, Maize), Vegetable Oil (Shea, Coconut), Vegetable Fibre, Turmeric Extract, Colour (Paprika Extract)), Salt",Energy Per 100g Frozen ,Energy kJ576718kcal137171Fat g5.06.5 of which saturates g0.60.7Carbohydrate g2024 of whic,https://www.tesco.com/groceries/en-GB/products/258347309
Mccain Home Chips Straight Cut 1.6Kg,(28),4.4,3.29,For more information see www.mccain.co.uk,"Potato (91%), Batter (Flour (Wheat (with Calcium, Iron, Niacin, Thiamin) Rice, Broad Bean), Dextrin, Starch (Wheat, Potato, Maize), Vegetable Oil (Shea, Coconut), Vegetable Fibre, Turmeric Extract, Colour (Paprika Extract)), Sunflower Oil (4%), Salt",Energy Per 100g Frozen ,Energy kJ605874 kcal144208Fat g4.17.2 of which saturates g0.50.8Carbohydrate g2331 of which,https://www.tesco.com/groceries/en-GB/products/305975341
Magnum Classic Ice Cream 4 X 110Ml,(109),4.8,3.00,Ice cream with vanilla from Madagascar coated with milk chocolate (26%),"Reconstituted skimmed MILK, sugar, cocoa butter¹, water, coconut oil, cocoa mass¹, glucose syrup, glucose-fructose syrup, whole MILK powder, whey solids (MILK), butter oil (MILK), emulsifiers (SOYBEAN lecithin, E476, E471), exhausted vanilla bean pieces, stabilisers (E407, E410, E412), natural vanilla flavouring¹, (with MILK), flavouring, colour (E160a). May contain: almonds. Gluten free. ¹Rainforest Alliance Certified™",Nan,Energy (kJ)1266 kJ909 kJ1000 kJ12%Energy (kcal)302 kcal217 kcal239 kcal0%Fat (g)18 g13 g14 g20%of which saturates (g)13 g9.2 g10 g50%Carbohydrate (g)30 g22 g24 g9%of which sugars (g)27 g19 g21 g23%Protein (g)3.3 g2.3 g2.6 g5%Salt (g)0.12 g0.09 g0.1 g2%*% of Reference i,https://www.tesco.com/groceries/en-GB/products/287174734
Mccain Crispy French Fries 1.4Kg,(5),3.2,3.00,"Crispy French Fries, thin fries cut from fresh potato and coated","Potatoes (85.6%), Batter (Wheat Flour (with Calcium, Iron, Niacin, Thiamin), Modified Starch (Maize, Tapioca), Rice Flour, Salt, Corn Starch, Natural Colours (Turmeric Extract, Paprika Extract)), Sunflower Oil (7%)",Energy Per 100g Frozen ,Energy kJ772970kcal184231Fat g7.07.7 of which saturates g0.80.9Carbohydrate g26.935.5 of,https://www.tesco.com/groceries/en-GB/products/284197533
Tesco Frozen Summer Fruits Mix 500G,(17),4.2,2.00,"A mix of blackberries, raspberries, blackurrants and redcurrants.","Blackberry, Raspberry, Blackcurrant, Redcurrant.",Energy 158kJ / 38kcal ,Energy158kJ / 38kcal126kJ / 30kcalFat0.2g0.2gSaturates0g0gCarbohydrate5.3g4.2gSugars5.3g4.2gFibre5.4g4.3gProtein1.0g0.8gSalt<0.01g<0.01gVitamin C68,https://www.tesco.com/groceries/en-GB/products/258759778
Rowntrees Fruit Pastilles Lollies 4X65ml,(10),3.3,1.90,Fruit Ice Lolly with 5 Fruit Flavoured Segments.,"Water, Fruit Juice from Concentrate (25%) (Pineapple, Orange, Lemon, Raspberry, Blackcurrant), Sugar, Glucose Syrup, Acid (Citric Acid), Stabilisers (Guar Gum, Sodium Alginate, Carrageenan), Flavourings, Colours (Beetroot Red, Annatto, Curcumin, Copper Complexes of Chlorophyllins), Dextrose",Energy 365 kJ ,Energy 365 kJ374 kJ243 kJ8400 kJ-86 kcal88 kcal57 kcal2000 kcalFat 0.1g0.1g0.1g70gof which: saturates0.0g0.0g0.0g20gCarbohydrate 20.6g21.1g13.7g260gof which: sugars17.4g17.8g11.6g90 gFibre 0.1g0.1g0.1g-Protein 0.1g0.1g0.1g50gSalt 0.01g0.01g0.01g6g*Reference Intake of an average adult (8400kJ/2000kcal)----**One lolly (65ml,https://www.tesco.com/groceries/en-GB/products/254353778
Tesco Frozen Blueberries 400G,(49),3.3,2.00,Blueberries.,"Once defrosted use on the same day and do not refreeze. Defrost thoroughly for a minimum of 6 hours in the fridge.

Keep frozen at -18C or cooler. 
Important: If food has thawed, do not refreeze. 
",Energy 189kJ / 45kcal ,Energy189kJ / 45kcal152kJ / 36kcalFat0.2g0.2gSaturates0g0gCarbohydrate9.1g7.3gSugars9.1g7.3gFibre1.5g1.2gPr,https://www.tesco.com/groceries/en-GB/products/294892069
Tesco Stonebaked Thin Four Cheese Pizza 330G Price Marked,(19),3.8,1.40,"A stonebaked pizza base topped with tomato sauce, mozzarella full fat soft cheese, Cheddar, red Cheddar and Monterey Jack cheeses.","Wheat Flour, Tomato Purée, Mozzarella Full Fat Soft Cheese (Milk) (19%), Water, Cheddar Cheese (Milk) (6%), Red Cheddar Cheese (Milk) (contains Colour: Annatto) (4.5%), Monterey Jack Full Fat Hard Cheese (Milk) (1.5%), Yeast, Dextrose, Rapeseed Oil, Salt, Sugar, Dried Herbs, Dried Garlic, Malted Wheat Flour, Ground White Pepper, Sourdough Culture (Wheat).",Energy 1052kJ / 251kcal ,Energy1052kJ / 251kcal1630kJ / 388kcalFat9.5g14.8gSaturates5.6g8.7gCarbohydrate27.2g42.2gSugars3.5g5.5gFibre2.2g3.5gProtein12.9g19.9gSalt0.9g1.3g* ,https://www.tesco.com/groceries/en-GB/products/285363462
Tesco Stonebaked Thin Double Pepperoni Pizza 330G Price Marked,(14),3.7,1.40,"A stonebaked pizza base topped with tomato sauce, mozzarella full fat soft cheese and large and small pepperoni slices.","Wheat Flour, Tomato Purée, Mozzarella Full Fat Soft Cheese (Milk) (16%), Pepperoni (10%) [Pork, Pork Fat, Salt, Dextrose, Spices, Red Pepper Extract, Antioxidants (Extracts of Rosemary, Sodium Ascorbate), Pepper Extract, Ginger Extract, Preservative (Sodium Nitrite)], Water, Mini Pepperoni (3.5%) [Pork, Pork Fat, Salt, Dextrose, Spices, Sugar, Antioxidants (Sodium Erythorbate, Extracts of Rosemary), Chilli Extract, Garlic Extract, Red Pepper Extract, Pepper Extract, Preservative (Sodium Nitrite)], Yeast, Dextrose, Rapeseed Oil, Salt, Sugar, Dried Garlic, Dried Herbs, Spice. ",Energy 1085kJ / 259kcal ,Energy1085kJ / 259kcal1682kJ / 401kcalFat11.2g17.4gSaturates5.2g8.1gCarbohydrate26.7g41.4gSugars3.4g5.3gFibre2.2g3.4gProtein11.6g18.0gSalt1.2g1.8g* Reference intake of an average,https://www.tesco.com/groceries/en-GB/products/285363525
Carte D'or Vanilla Ice Cream Dessert 1L,(120),4.5,3.50,Vanilla ice cream,"Reconstituted skimmed MILK, water, glucose syrup, glucose-fructose syrup, sugar, coconut oil, whey solids (MILK), emulsifiers (mono- and diglycerides of fatty acids), exhausted vanilla bean pieces¹, stabilisers (guar gum, locust bean gum), natural vanilla flavourings¹, colour (carotenes). ¹Rainforest Alliance Certified™",Nan,Energy (kJ)806 kJ403 kJEnergy (kcal)192 kcal96 kcalFat (g)7.4 g3.7 gof which saturates (g)6.7 g3.4 gCarbohydrate (g)29 g14 gof which sugar,https://www.tesco.com/groceries/en-GB/products/295189578
