Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Brita Maxtra Plus Cartridges 3 Pack,(43),4,16.00,Reduces limescale and impurities that impair taste in drinking water,Made in UK,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/297792367
Gold Leaf Jps 50G,(3),3.7,19.50,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295458992
Golden Virginia The Original 50G,(1),4,25.80,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295580713
Amber Leaf Roll Your Own 50G,(3),5,25.80,Pack size: 50G,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295625754
Duracell Plus AA 4 Pack,(113),4.8,4.00,AA batteries,Made in Belgium,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251457616
Nuco Spectrum B5 Notebook,(1),5,3.50,"The Nu: Spectrum B5 Notebook is made using high quality white ruled FSC paper & FSC board covers which also feature a soft touch finish, rounded corners and spot varnish detailing. This product has 150 pages of 80gsm paper bound with a contrasting spiral, Colours will vary.",Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/305492687
Marlboro Gold King Size 20 Pack,(1),4,12.25,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295797532
L&B Blue Real Blue 20 Pack,No ratings yet,Nan,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295447544
Lambert & Butler Original Silver 20 Pack,No ratings yet,Nan,10.49,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295527853
Benson & Hedges Blue King Size 20 Pack,(2),2.5,9.29,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295035110
Players Superkings Real Red 20 Pack,(1),5,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295770454
Benson & Hedges Blue Superkings 20 Pack,(2),5,9.29,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/293819937
Rothmans Superkings Blue 20 Pack,(3),4.7,8.40,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295813059
Swan Menthol Extra Slim Filters 120 Pack,No ratings yet,Nan,1.03,To see our full range of products why not visit us on the web www.houseofswan.com,120 x Pre Cut Filter Tips,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/256097291
Swan Extra Slim Filter Tips 120 Pack,No ratings yet,Nan,1.00,To see our full range of products why not visit us on the web www.houseofswan.com,120 x Pre Cut Filter Tips,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/252879081
Tesco Multipurpose Paper 80Gsm 500 Sheets,(32),4.6,3.35,500 sheets of white A4 printing paper,500,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/283283726
Tesco De-Ionised Water 2.5L,(20),4.8,1.50,Prevents furring & scale formation,2.5l,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/272512807
Miracle Gro All Purposelqd Plant Food 1L,(1),5,4.00,Concentrated liquid version,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251840410
Swan Slim Loose Filters 165Pk,(2),4.5,0.88,To see our full range of products why not visit on the web www.houseofswan.com,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/259729058
Tesco Kids Bright Happy Birthday 2 Sheets 2 Tags,(2),3,1.00,Features 2 sheets of gift wrap,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/281611757
First Class Stamps 12 Pack,(3),3.7,10.20,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251089078
Rizla Green Papers Multi 5 Pack,No ratings yet,Nan,1.13,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/252745441
Tesco Basics A4 White Paper 500 Sheets 70Gsm,(115),4.6,2.85,A basic good quality paper that is ideal for printing every day documents such as emails and forms. ECF (Elemental Chlorine Free). PEFC certified,500,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/253580351
Miracle Gro Soluble Plant Food 1Kg,(2),5,4.00,The number one selling plant food,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/257856405
Tesco Watercolour Spots 2 Sheets 2 Tags,No ratings yet,Nan,1.00,"Tesco Stores Ltd.,",Made in China,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/290442724
Tesco Paper Plates White 23Cm 50 Pack,(1),5,1.25,Not suitable for microwave use,Made in Finland,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/259396030
First Class Stamps 6 Pack,No ratings yet,Nan,5.10,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251089118
Second Class Stamps 12 Pack,(3),5,7.92,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251089239
Take A Break,(4),5,2.10,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/299829616
Tesco Water Glass,(10),4.5,0.25,- Dishwasher Safe,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/300520162
