Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Andrex Toilet Tissue Classic Clean 9 Roll,(109),4.5,Nan,Visit Andrex.co.uk/sustainability,9 x Rolls,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/293879237
Tesco Luxury Soft 24 Roll White,(73),2.4,Nan,For softness and strength every time Even softer & stronger for a confident clean New 'patterned paper' ping 24 roll icon,Produced in the U.K.,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/288976170
Andrex Toilet Tissue Gentle Clean 24 Roll,(38),4.2,9.00,Andrex; Andrex Gentle Clean; Andrex Toilet Roll; Toilet Roll; Toilet Rolls; Toilet Paper; Toilet Tissue; Sustainable; Recycled Packaging,24 x Rolls,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302321901
Plenty White Kitchen Roll 200 Sheets,(1741),4.9,3.75,"Plenty is 40% more absorbent* and stays strong when wet, which means it's great for tough tasks. Whether you're mopping, wiping, polishing, shining, cooking or cleaning, Plenty's superior performance is perfect for every task around the home.",Produce of the EU,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296653125
Plenty The Original One Kitchen Towels 400 Sheets,(1736),4.9,6.00,"Plenty is 40% more absorbent* and stays strong when wet, which means it's great for tough tasks. Whether you're mopping, wiping, polishing, shining, cooking or cleaning.  Plenty's superior  performance is perfect for every task around the home. *versus the next best-selling brand.",Produce of the EU,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/305045152
Tesco Luxury Soft Quilted 9 Roll,(39),3.5,Nan,Luxury Soft Quilted toilet tissue. 9 white rolls.,Produced in the U.K.,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/297444884
Tesco Strong Kitchen Foil 30M X 290Mm,(19),2.3,3.40,290mm x 30M Kitchen Foil,Packed in France,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/304798546
Tesco Tie Top Compostable Caddy Liners 20 Pack 10L,(50),1.9,1.60,Tesco 20 compostable caddy liners tie-top.,"Store in a clean, dry place (up to 18 months).    ",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302533466
Regina Kitchen Towels Blitz 2 Rolls,(26),4.2,3.50,You Have Chosen a FSC® Certified Product,2 x Rolls,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/262374000
Regina Blitz Kitchen Towel 1 Roll,(18),3.9,2.00,You have chosen a FSC® certified product,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/264038125
Tesco Tie Top Bin Bags 50L X 20 Pack,(15),2.4,Nan,Tesco 20 bin bags tie-top.,"Produced in the U.K.,  ----",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/301691734
Tesco 75M X 350Mm Cling Film,(23),1.7,2.50,Cling film.,Packed in the U.K.,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302533489
Tesco Luxury Soft 9 Roll White,(109),2.1,3.00,Luxury Soft toilet tissue 9 white rolls,Produced in the U.K.,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/281055810
Dettol Aerosol Disinfectant Spray Linen 400Ml,(12),4.8,3.00,www.rbeuroinfo.com,"Per 100g contains 58.00g Ethanol, 01.g Alkyl Dimethyl Benzyl Ammonium Saccharinate, Contains Disinfectant, Parfum",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/291264150
Tesco Drawstring Swing Bin Liners 50L 30Pk,(25),2.4,Nan,Tesco 30 swing bin liners drawstring.,Produced in Vietnam,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/250191211
