Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Felix As Good As It Looks Cat Food Mixed Selection 40X100g,(60),4.8,10.99,"To find out more about Felix®, play games, join promotions and much more, go to: www.catslkefelix.co.uk","Keep pet food in a cool and dry place.Best before date, registration and batch number: see coding on back or base of the pouch.",Nan,Moisture:82.0%Protein:11.5%Fat content:2.5%Crude Ash:2.5%Crude fibres:0.05%Linoleic Acid (Omega 6 FA):0.4%Nutritional additives:IU/kg:Vit. A:585Vit. D3:90Vit. E:13-mg/kg:Ferrous sulphate monohydrate:20Calcium iodate anhydrous:0.26Cupric sulphate pentahydrate:2.3Manganous sulphate ,https://www.tesco.com/groceries/en-GB/products/296143533
Felix As Good As It Looks Food Doubly Delicious Meat 12X100g,(67),4.9,3.49,Find Felix® at Facebook/CatsLikeFelix or catslikefelix.co.uk,"Please store unopened pouches in a cool dry place.Best before date, batch code and factory registration Nr.: see base or back of the individual pouches.",Nan,Moisture80%Protein13%Fat content3%Crude ash2.2%Crude fibres0.5%Linoleic acid (Omega 6 Fatty Acids):0.2%Nutritional additives:IU/kg:Vit A:725Vit D3:110Vit E:16-mg/kg:F,https://www.tesco.com/groceries/en-GB/products/272364671
Tesco Ultra Absorbent Wood Cat Litter Light Weight 10 Litre,(37),4,4.50,100% Natural Lightweight Low dust Ultra absorbent,"Store in a cool, dry place    ",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/252867475
Catsan Cat Litter 10 Litres,(5),2.6,6.50,"Catsan Hygiene Cat Litter is a high performance non-clumping cat litter that absorbs moisture quickly and effectively before odours can develop. Cat litter granules act like a sponge as it locks liquids in, ensuring a dry and hygienic litter tray for your cat. Catsan Hygiene's extra mineral protection offers an especially reliable and long-lasting odour prevention, making this quality cat litter very popular with cats and cat owners alike. Catsan Hygiene is made from 100% natural raw materials (quartz and lime stone) giving it the hygienic white colour without any bleach. Catsan cat litter does not contain any artificial additives and is free from all dangerous fibres and other unsuitable substances, making it suitable for adult cats and kittens. Catsan Hygiene cat litter in a 10L Pack.",Store in a dry place.,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/254960689
Tesco Cuts In Jelly Selection 48X100g,(15),4.1,8.50,A complete pet food for adult cats aged 1-7 years.,"CompositionWith Lamb in JellyMeat and Animal Derivatives (42%, including 4% Lamb), Minerals, Various Sugars, Oils and Fats, Derivatives of Vegetable Origin (0.08% Chicory).With Chicken in JellyMeat and Animal Derivatives (42%, including 4% Chicken), Minerals, Various Sugars, Oils and Fats, Derivatives of Vegetable Origin (0.08% Chicory).With Tuna in JellyMeat and Animal Derivatives (37%), Fish and Fish Derivatives (4% Tuna), Minerals, Various Sugars, Oils and Fats, Derivatives of Vegetable Origin (0.08% Chicory).With Salmon in JellyMeat and Animal Derivatives (37%), Fish and Fish Derivatives (4% Salmon), Minerals, Various Sugars, Oils and Fats, Derivatives of Vegetable Origin (0.08% Chicory).Additives (for all varieties)Nutritional Additives per Kg: Vitamin D3 100 IU, Iodine (Calcium Iodate Anhydrous) 0.5 mg, Zinc (Zinc Sulphate Monohydrate) 14 mg, Taurine 450 mg.Technological Additives per Kg: Cassia Gum 1.7g.Analytical Constituents (For all Varieties):Protein    8.0%Crude fibre    0.5%Fat content    6.0%Inorganic matter    2.0%Moisture    82.0%Calcium    0.3%Omega 6    1.0%Calories    88 per 100g ",Nan,Crude protein8%Crude oils and fa,https://www.tesco.com/groceries/en-GB/products/291399318
Tesco Wild Bird Mix 3.5Kg,(11),3.5,3.00,A Complementary feed for Wild Birds,"INGREDIENTS: Wheat, Red Dari, Maize, Sunflower Seeds, Peas, Millet.",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/284997796
Tesco 28 Dental Sticks Medium Dog 720G,(3),3.3,3.15,A complementary pet food for dogs,"Composition:Cereals, Meat And Animal Derivatives, Derivatives Of Vegetable Origin, Vegetable Protein Extracts, Minerals (1% Pumice). ADDITIVES per Kg:Preservatives. Nutritional Additives: Vitamin A 5000 IU, Viatmin D3 500 IU, Vitamin E 40 mg, Copper as copper (II) sulphate pentahydrate 12 mgSensory Additives: Flavouring (smoke oil 0.7%)ANALYTICAL CONSTITUENTS (%):Moisture: 19 / Crude Protein: 18 / Fat content: 3 / Inorganic matter: 6 / Crude Fibres: 2.",Nan,,https://www.tesco.com/groceries/en-GB/products/263422946
Tesco Chunks In Jelly Tinned Dog Food 12X400g,(9),4.2,5.00,A complete pet food for adult dogs aged 1-7years.,"Chunks in Jelly with BeefComposition: Meat and Animal Derivatives (44% including 4% Beef), Cereals, Minerals.Chunks in Jelly with ChickenComposition: Meat and Animal Derivatives (44% including 4% Chicken), Cereals, Minerals.Chunks in Jelly with Lamb Composition: Meat and Animal Derivatives (44% including 4% Lamb), Cereals, Minerals.Chunks in Jelly with Turkey Composition: Meat and Animal Derivatives (44% including 4% Turkey), Cereals, Minerals.Additives (for all varieties)AdditivesColourants (Beef and Lamb varieties only)Technological Additives per Kg: Cassia Gum 1.6g.Nutritional Additives per Kg: Vitamin A 1250 IU, Vitamin D3 250 IU, Zinc (Zinc Sulphate Monohydrate) 20mg, Manganese (Manganous Sulphate Monohydrate) 2.5mg, Iodine (Calcium Iodate Anhydrous) 0.5 mg.Analytical Constituents: Protein 7.5%, Crude fibre 0.5%, Fat content 5%, Inorganic matter 2%, Moisture 81%, Calcium 0.4%.Calories: 92 per 100g ",Nan,,https://www.tesco.com/groceries/en-GB/products/274777628
Good Boy Chewy Chick Twists 70G,(3),4,2.00,A Complementary Pet Food For Dogs,"Chicken (67%), Rawhide (30%), Glycerin, Tapioca Starch, Salt",Nan,,https://www.tesco.com/groceries/en-GB/products/287318652
Tesco Chunks In Gravy Tinned Dog Food 12X400g,(3),4,5.00,A complete pet food for adult dogs aged 1-7years.,"Chunks in Gravy with BeefComposition: Meat and Animal Derivatives (44% including 4% Beef), Cereals, Minerals.Chunks in gravy with ChickenComposition: Meat and Animal Derivatives (44% including 4% Chicken), Cereals, Minerals.Chunks in Gravy with LambComposition: Meat and Animal Derivatives (44% including 4% Lamb), Cereals, Minerals.Chunks in gravy with TurkeyComposition: Meat and Animal Derivatives (44% including 4% Turkey), Cereals, Minerals.Additives (for all varieties)AdditivesColourants (Beef and Lamb varieties only).Technological Additives per Kg: Cassia Gum 0.4gNutritional Additives per Kg: Vitamin A 1250 IU, Vitamin D3 250 IU, Zinc (Zinc Sulphate Monohydrate) 20mg, Manganese (Manganous Sulphate Monohydrate) 2.5mg, Iodine (Calcium Iodate Anhydrous) 0.5mg.Analytical Constituents: Protein 7.5%, Crude fibre 0.5%, Fat content 5%, Inorganic matter 2%, Moisture 81%. Calcium 0.4%.Calories 91 per 100g.",Nan,,https://www.tesco.com/groceries/en-GB/products/274777876
